Seat ID,Demand Partner,Deal ID,Private Deal,Bid Requests,Bid Responses,Imps,Revenue,Bid eCPM,Bidfloor,Win Rate
16,Google DV360,VDMY_HV_46357,Yes,16089000,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_CR_50291,Yes,14420580,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_OM_62186,Yes,11664060,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
16,Google DV360,VDMY_OM_72398,Yes,11585940,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_OM_54903,Yes,11548740,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_GP_89275,Yes,11412960,0,0,$ 0.00,$ 0.00,$ 4.67,0.00 %
16,Google DV360,VDMY_WT_15835,Yes,11213940,0,0,$ 0.00,$ 0.00,$ 2.87,0.00 %
16,Google DV360,VDMY_AL_14665,Yes,11204640,0,0,$ 0.00,$ 0.00,$ 5.75,0.00 %
16,Google DV360,VDMY_265372460,Yes,7932900,0,0,$ 0.00,$ 0.00,$ 6.31,0.00 %
16,Google DV360,VDMY_HV_50898,Yes,7635300,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_XA_98125,Yes,7633440,7440,1598,$ 4.79,$ 4.40,$ 3.00,0.02 %
16,Google DV360,VDMY_265284853,Yes,6902460,29760,16694,$ 105.34,$ 7.55,$ 6.31,0.24 %
16,Google DV360,VDMY_266453884,Yes,6898740,0,0,$ 0.00,$ 0.00,$ 3.75,0.00 %
16,Google DV360,VDMY_HV_34888,Yes,6857820,3720,2086,$ 12.52,$ 6.24,$ 6.00,0.03 %
16,Google DV360,VDMY_266567149,Yes,6671820,0,0,$ 0.00,$ 0.00,$ 3.75,0.00 %
16,Google DV360,VDMY_BY_11855,Yes,6584400,0,0,$ 0.00,$ 0.00,$ 4.10,0.00 %
16,Google DV360,VDMY_HV_34254,Yes,6578820,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_PH_11103,Yes,6550920,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_HV_63219,Yes,5730660,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_261855631,Yes,5728800,7440,2010,$ 10.05,$ 6.08,$ 5.00,0.04 %
16,Google DV360,VDMY_PH_33004,Yes,5708340,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_XA_36140,Yes,5673000,0,0,$ 0.00,$ 0.00,$ 3.00,0.00 %
16,Google DV360,VDMY_PR_36749,Yes,5663700,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_PH_34005,Yes,5641380,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_PH_32002,Yes,5539080,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_PR_37855,Yes,5511180,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_261594903,Yes,5345640,26040,21245,$ 90.29,$ 8.32,$ 4.25,0.40 %
80,MediaMath,deal-vidoomy-349,Yes,4977360,96720,56629,$ 226.52,$ 4.15,$ 4.00,1.14 %
80,MediaMath,VDMY_266369722,Yes,4932720,0,0,$ 0.00,$ 0.00,$ 3.50,0.00 %
16,Google DV360,VDMY_HV_10302,Yes,4889940,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_HV_24766,Yes,4884360,1860,1153,$ 6.92,$ 6.24,$ 6.00,0.02 %
16,Google DV360,VDMY_CD_60388,Yes,4203600,0,0,$ 0.00,$ 0.00,$ 3.47,0.00 %
16,Google DV360,VDMY_AL_39655,Yes,3692100,0,0,$ 0.00,$ 0.00,$ 8.00,0.00 %
