hour,deal_id,imps,25_pcts,50_pcts,75_pcts,completions,clicks,revenue,ad_responses,ad_requests
2021-02-28 09:00,1043614,53,44,39,35,35,0,0.225250,0,97
2021-02-28 19:00,1043614,76,63,57,52,46,1,0.323000,0,154
2021-03-01 22:00,1043614,5,3,3,3,2,0,0.021250,0,7
2021-02-28 16:00,1043614,80,68,57,49,45,0,0.340000,0,154
2021-02-28 16:00,0,1737,1382,1215,1115,1047,2,13.887828,0,1294178
2021-03-01 03:00,1043614,70,53,42,40,36,0,0.297500,0,162
2021-02-28 21:00,1051950,777,709,683,649,624,0,2.641800,0,2769
2021-02-28 14:00,1051950,509,471,441,426,411,0,1.730600,0,1742
2021-02-28 13:00,0,1582,1282,1142,1068,1018,0,13.121651,0,1037788
2021-03-01 09:00,0,758,605,549,507,474,1,7.028941,5,535685
2021-02-28 18:00,0,1797,1461,1314,1223,1142,1,15.065304,0,1323682
2021-03-01 05:00,0,862,699,625,568,534,0,6.185395,327,647839
2021-02-28 11:00,1051950,78,71,71,69,65,0,0.265200,0,291
2021-02-28 15:00,1051950,576,524,477,457,441,0,1.958400,0,2333
2021-02-28 15:00,1043614,81,68,57,52,47,1,0.344250,0,169
2021-02-28 23:00,1051950,1007,931,865,843,802,0,3.423800,0,3447
2021-03-01 07:00,0,1291,1038,925,846,777,0,11.405649,0,1030330
2021-03-01 01:00,0,846,643,573,537,503,0,6.798362,0,657019
2021-03-01 08:00,0,1256,987,869,796,750,1,12.533263,0,1078222
2021-02-28 10:00,0,1476,1204,1093,1019,964,1,13.170658,0,1026767
2021-03-01 04:00,1043614,70,52,48,43,42,0,0.297500,0,155
2021-02-28 17:00,0,1984,1607,1423,1309,1235,2,15.358558,0,1362530
2021-03-02 02:00,0,432,321,277,246,220,0,2.817446,0,168166
2021-02-28 20:00,0,1712,1340,1194,1112,1055,1,15.112412,0,1353367
2021-03-02 06:00,0,405,299,259,234,221,0,3.390170,0,233425
2021-03-02 05:00,0,362,281,245,223,201,0,2.503037,0,188312
2021-02-28 14:00,1043614,86,73,66,65,64,0,0.365500,0,145
2021-02-28 11:00,1043614,74,65,55,46,41,0,0.314500,0,122
2021-03-01 17:00,0,548,418,360,322,295,0,4.345908,0,298134
2021-02-28 11:00,0,1408,1171,1044,959,894,0,12.721939,0,945546
2021-03-01 00:00,1043614,81,65,57,50,46,3,0.344250,0,142
2021-02-28 12:00,1043614,81,70,65,58,52,1,0.344250,0,190
2021-02-28 13:00,1043614,124,108,101,86,79,0,0.527000,0,216
2021-03-01 06:00,0,981,746,647,590,549,2,8.063385,0,847596
2021-02-28 21:00,1043614,74,62,59,55,53,0,0.314500,0,153
2021-02-28 10:00,1043614,76,66,58,57,52,1,0.323000,0,106
2021-02-28 15:00,0,1658,1332,1180,1090,1026,0,12.423304,0,1255462
2021-03-01 02:00,0,821,635,556,519,479,0,5.980106,0,645568
2021-02-28 21:00,0,1307,997,892,817,751,2,10.807267,0,1314145
2021-03-01 00:00,0,790,603,528,481,457,0,6.322411,0,698886
2021-02-28 22:00,1043614,87,77,70,61,54,0,0.369750,0,146
2021-02-28 12:00,0,1546,1254,1128,1058,993,1,13.344811,0,1015576
2021-02-28 10:00,1051950,31,28,25,21,19,0,0.105400,0,186
2021-03-01 21:00,0,462,336,289,262,240,0,2.689381,0,261338
2021-02-28 20:00,1051950,716,641,598,577,553,0,2.434400,0,2692
2021-03-01 02:00,1043614,71,63,57,53,49,0,0.301750,0,123
2021-03-01 00:00,1051950,718,665,625,595,576,0,2.441200,0,2453
2021-02-28 20:00,1043614,77,71,67,62,56,0,0.327250,0,138
2021-02-28 13:00,1051950,298,263,247,237,233,0,1.013200,0,1196
2021-03-01 13:00,0,467,346,290,260,244,0,3.317011,0,260123
2021-03-02 00:00,1043614,0,1,1,1,1,0,0.000000,0,0
2021-03-01 01:00,1043614,76,60,50,48,42,0,0.323000,0,136
2021-02-28 17:00,1051950,910,852,791,762,738,0,3.094000,0,2856
2021-03-02 04:00,0,397,301,274,244,228,0,2.815884,0,139201
2021-03-01 19:00,0,524,405,351,320,302,0,4.165689,0,291499
2021-02-28 09:00,1051950,58,57,57,54,50,0,0.197200,0,206
2021-02-28 09:00,0,1684,1351,1216,1127,1074,1,14.478418,0,1277409
2021-02-28 22:00,1051950,953,865,823,802,773,0,3.240200,0,3214
2021-03-01 22:00,0,304,217,196,179,165,0,1.944332,0,229563
2021-02-28 18:00,1051950,795,707,674,652,624,0,2.703000,0,2796
2021-03-01 15:00,0,611,444,380,333,302,0,4.570498,0,298655
2021-03-02 01:00,0,462,352,302,276,250,0,2.918231,0,167920
2021-03-01 14:00,0,550,403,345,306,285,1,4.000647,0,298061
2021-03-01 03:00,0,784,619,534,483,454,0,5.813246,0,611412
2021-03-01 23:00,1043614,2,1,1,1,1,0,0.008500,0,3
2021-03-01 12:00,0,520,396,343,317,291,0,4.149948,0,259342
2021-03-01 16:00,0,554,387,344,312,292,0,4.449729,0,293994
2021-03-02 03:00,0,454,306,264,243,220,0,3.198844,0,161420
2021-02-28 22:00,0,901,732,658,591,548,0,6.651175,0,1155980
2021-02-28 17:00,1043614,76,65,62,48,42,1,0.323000,0,138
2021-03-01 18:00,0,554,408,359,319,286,0,3.918918,0,305384
2021-02-28 12:00,1051950,137,127,123,118,114,0,0.465800,0,555
2021-02-28 18:00,1043614,78,63,50,44,42,1,0.331500,0,158
2021-03-01 20:00,0,460,353,311,280,258,0,3.472868,0,295205
