Dominio, Supply Partner, FL Antes de Ayer, FL Ayer, Cambio, Revenue Antes de Ayer, Revenue Ayer
eluniverso.com, eluniverso, 277037, 159074, 42.58%, $12.47, $9.93
edaily.com.br, 1news, 43201, 19911, 53.91%, $21.26, $8.74
maisnovela.com.br, driftdigital, 33658, 14324, 57.44%, $45.22, $19.41
trespassosnews.com.br, grupoindependente, 33212, 18114, 45.46%, $9.11, $2.59
canal4.tv.br, grupoindependente, 31601, 17331, 45.16%, $2.45, $1.11
comutricolor.com, onemetro, 30081, 14337, 52.34%, $15.77, $7.84
elpolitico.com, newdream, 17413, 5296, 69.59%, $1.45, $0.44
ocorreio.com.br, grupoindependente, 15861, 8904, 43.86%, $1.41, $1.09
fcinter1908.it, RCSMedia, 13773, 6791, 50.69%, $5.86, $2.92
golssip.it, RCSMedia, 13245, 2221, 83.23%, $2.09, $0.18
horasur.com, Openhost, 12527, 4615, 63.16%, $2.15, $0.88
