Dominio, Supply Partner, FL Antes de Ayer, FL Ayer, Cambio, Revenue Antes de Ayer, Revenue Ayer
healthzap.co, admin@healthzap.co, 33278, 113715, 70.74%,$13.34, $32.22
elcalce.com, onemetro, 44922, 97637, 53.99%,$29.26, $38.92
kienyke.com, kienyke, 28541, 66338, 56.98%,$7.18, $25.45
lasestrellas.tv, televisa, 5440, 62364, 91.28%,$1.52, $22.10
americatv.com.pe, flashback, 18050, 36694, 50.81%,$5.49, $9.80
oestemania.net, grupoindependente, 14987, 31367, 52.22%,$0.11, $0.02
tudn.mx, televisa, 0, 30471, 100.00%,$0.00, $4.79
turquesanews.mx, matos@radioturquesa.fm, 12, 13852, 99.91%,$0.00, $2.71
dalechivas.com, SPFC, 5521, 11854, 53.43%,$0.44, $1.46
itasportpress.it, RCSMedia, 3256, 10638, 69.39%,$1.56, $2.65
forzaroma.info, RCSMedia, 2836, 10199, 72.19%,$0.98, $2.87
