Seat ID,Demand Partner,Deal ID,Private Deal,Bid Requests,Bid Responses,Imps,Revenue,Bid eCPM,Bidfloor,Win Rate
16,Google DV360,VDMY_329342303,Yes,26828640,0,0,$ 0.00,$ 0.00,$ 5.60,0.00 %
16,Google DV360,VDMY_313817418,Yes,21280260,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_349534866,Yes,18972000,24180,12316,$ 61.58,$ 5.19,$ 5.00,0.06 %
16,Google DV360,VDMY_332027986,Yes,13252500,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_328381155,Yes,13232040,0,0,$ 0.00,$ 0.00,$ 0.01,0.00 %
16,Google DV360,VDMY_327161004,Yes,13051620,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_357739188,Yes,12168120,3720,1109,$ 5.54,$ 7.00,$ 5.00,0.01 %
80,MediaMath,VDMY_266029905,Yes,11946780,48360,22251,$ 77.88,$ 3.54,$ 3.50,0.19 %
16,Google DV360,VDMY_331341878,Yes,11591520,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_329516398,Yes,11269740,29760,14743,$ 73.72,$ 7.86,$ 5.00,0.13 %
74,Verizon Media DSP,VDMY_AB_62055,Yes,10057020,27900,9109,$ 36.44,$ 5.04,$ 4.00,0.09 %
16,Google DV360,VDMY_313512786,Yes,9430200,0,0,$ 0.00,$ 0.00,$ 13.00,0.00 %
16,Google DV360,VDMY_313662785,Yes,9363240,0,0,$ 0.00,$ 0.00,$ 13.00,0.00 %
74,Verizon Media DSP,VDMY_AB_61044,Yes,9303720,40920,5172,$ 20.69,$ 4.60,$ 4.00,0.06 %
74,Verizon Media DSP,VDMY_356972017,Yes,9100980,9300,761,$ 3.04,$ 4.00,$ 4.00,0.01 %
16,Google DV360,VDMY_304496042,Yes,8360700,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
80,MediaMath,VDMY_321393713,Yes,7335840,0,0,$ 0.00,$ 0.00,$ 6.50,0.00 %
16,Google DV360,VDMY_PH_60888,Yes,7289340,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
