Seat ID,Demand Partner,Deal ID,Private Deal,Bid Requests,Bid Responses,Imps,Revenue,Bid eCPM,Bidfloor,Win Rate
16,Google DV360,VDMY_512889418,Yes,56144100,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_412716507,Yes,32038500,0,0,$ 0.00,$ 0.00,$ 3.25,0.00 %
16,Google DV360,VDMY_447619091,Yes,30598860,0,0,$ 0.00,$ 0.00,$ 3.20,0.00 %
16,Google DV360,VDMY_464865824,Yes,26093940,531960,84519,$ 270.46,$ 3.30,$ 3.20,0.32 %
16,Google DV360,VDMY_490025372,Yes,23664780,9300,4394,$ 26.80,$ 6.20,$ 6.10,0.02 %
16,Google DV360,VDMY_501620331,Yes,23071440,0,0,$ 0.00,$ 0.00,$ 6.25,0.00 %
16,Google DV360,VDMY_483517831,Yes,22173060,22320,20381,$ 81.52,$ 4.12,$ 4.00,0.09 %
16,Google DV360,VDMY_464999684,Yes,21951720,513360,91759,$ 293.63,$ 3.30,$ 3.20,0.42 %
16,Google DV360,VDMY_470270919,Yes,21895920,0,0,$ 0.00,$ 0.00,$ 3.30,0.00 %
16,Google DV360,VDMY_475224467,Yes,21799200,0,0,$ 0.00,$ 0.00,$ 5.90,0.00 %
74,Yahoo DSP,VDMY_387888938,Yes,20830140,13020,9206,$ 36.82,$ 4.00,$ 4.00,0.04 %
16,Google DV360,VDMY_387380385,Yes,20497200,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_462275609,Yes,20260980,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_500310441,Yes,19820160,31620,14942,$ 73.22,$ 5.05,$ 4.90,0.08 %
16,Google DV360,VDMY_373627698,Yes,18975720,11160,8429,$ 36.24,$ 4.43,$ 4.30,0.04 %
16,Google DV360,VDMY_394453335,Yes,18421440,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_501326752,Yes,17448660,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_517958698,Yes,16356840,13020,4558,$ 27.35,$ 6.18,$ 6.00,0.03 %
80,MediaMath,VDMY_443216258,Yes,15916020,0,0,$ 0.00,$ 0.00,$ 6.50,0.00 %
16,Google DV360,VDMY_501414378,Yes,15741180,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_433440878,Yes,15279900,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_467127602,Yes,14664240,5580,2595,$ 11.16,$ 4.43,$ 4.30,0.02 %
16,Google DV360,VDMY_503749587,Yes,13183680,27900,16116,$ 80.58,$ 5.05,$ 5.00,0.12 %
16,Google DV360,VDMY_414764655,Yes,12837720,0,0,$ 0.00,$ 0.00,$ 3.20,0.00 %
16,Google DV360,VDMY_414660440,Yes,12616380,0,0,$ 0.00,$ 0.00,$ 3.20,0.00 %
16,Google DV360,VDMY_377021709,Yes,11690100,27900,9357,$ 46.78,$ 5.06,$ 5.00,0.08 %
16,Google DV360,VDMY_441221736,Yes,10866120,0,0,$ 0.00,$ 0.00,$ 4.90,0.00 %
16,Google DV360,VDMY_503694576,Yes,10834500,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
16,Google DV360,VDMY_394877386,Yes,10708020,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_390418421,Yes,10602000,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_281012099,Yes,10548060,18600,4131,$ 26.03,$ 6.49,$ 6.30,0.04 %
16,Google DV360,VDMY_518295151,Yes,10096080,0,0,$ 0.00,$ 0.00,$ 5.50,0.00 %
16,Google DV360,VDMY_322613686,Yes,9880320,0,0,$ 0.00,$ 0.00,$ 4.20,0.00 %
16,Google DV360,VDMY_483390147,Yes,9610620,7440,5170,$ 28.43,$ 5.67,$ 5.50,0.05 %
16,Google DV360,VDMY_378159471,Yes,9565980,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_399414230,Yes,9497160,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
