Time,DemandTagID,DemandTag,TagRequests,Impressions,25Views,50Views,75Views,100Views,Clicks,ViewableImpressions
13/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1574,1153,993,928,852,787,8,996
14/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1339,1160,1007,933,863,814,6,1003
15/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1343,1297,1130,1053,944,877,8,1107
16/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1607,1056,914,830,780,749,4,878
17/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1670,1287,1134,1021,943,872,17,1091
18/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1603,1280,1152,1030,924,899,9,1072
19/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1388,1048,906,846,767,728,8,875
20/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1481,1226,1060,980,912,867,4,1045
21/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1356,1307,1132,1056,993,926,9,1076
22/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1675,1176,1040,972,864,814,4,1014
23/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1407,1286,1122,1037,945,906,10,1080
24/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1464,1050,941,868,772,723,7,874
25/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1510,1116,970,909,847,786,10,963
26/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1544,1295,1116,1037,954,917,9,1079
27/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1636,1338,1160,1077,981,940,10,1126
28/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1704,1104,953,880,799,753,5,909
29/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1593,1180,1024,953,859,842,9,986
30/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1534,1259,1133,1029,937,889,9,1084
31/7/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1519,1291,1118,1018,955,928,11,1109
1/8/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1548,1316,1130,1058,960,930,8,1109
2/8/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1346,1285,1137,1065,945,915,4,1071
3/8/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1559,1330,1155,1088,973,961,6,1133
4/8/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1535,1151,998,924,823,812,8,981
5/8/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1550,1280,1112,1037,942,918,8,1069
6/8/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1639,1189,1045,965,878,846,5,997
7/8/2021,1056686,DAN_ParadaisDDB_EC_All_CPV_USD:0.025_:_GeoIP:EC_vtr:_va:_Crissal_Crissal_30.000_31Ago,1402,1060,916,847,784,745,10,908
