Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,coste rebate,revenue neto
13/01/2022,YNU_Ariadna_EC_all_CPV_USD:0.012_:_GeoIP:EC_vtr:70_va:80_GeneralMotors_Trackers1_Bonificada_5.700_31Ene,480,134,115,105,101,96,114,2,"0,00","0,00","0,00"
14/01/2022,YNU_Ariadna_EC_all_CPV_USD:0.012_:_GeoIP:EC_vtr:70_va:80_GeneralMotors_Trackers1_Bonificada_5.700_31Ene,561,130,111,103,98,93,111,2,"0,00","0,00","0,00"
15/01/2022,YNU_Ariadna_EC_all_CPV_USD:0.012_:_GeoIP:EC_vtr:70_va:80_GeneralMotors_Trackers1_Bonificada_5.700_31Ene,591,120,101,95,91,86,102,1,"0,00","0,00","0,00"
16/01/2022,YNU_Ariadna_EC_all_CPV_USD:0.012_:_GeoIP:EC_vtr:70_va:80_GeneralMotors_Trackers1_Bonificada_5.700_31Ene,580,145,123,116,109,104,123,3,"0,00","0,00","0,00"
13/01/2022,YNU_Ariadna_EC_all_CPV_USD:0.012_:_GeoIP:EC_vtr:70_va:80_GeneralMotors_Trackers2_Bonificada_5.700_31Ene,479,117,98,94,88,83,98,1,"0,00","0,00","0,00"
14/01/2022,YNU_Ariadna_EC_all_CPV_USD:0.012_:_GeoIP:EC_vtr:70_va:80_GeneralMotors_Trackers2_Bonificada_5.700_31Ene,559,142,120,114,107,102,121,2,"0,00","0,00","0,00"
15/01/2022,YNU_Ariadna_EC_all_CPV_USD:0.012_:_GeoIP:EC_vtr:70_va:80_GeneralMotors_Trackers2_Bonificada_5.700_31Ene,596,136,117,110,104,97,115,1,"0,00","0,00","0,00"
16/01/2022,YNU_Ariadna_EC_all_CPV_USD:0.012_:_GeoIP:EC_vtr:70_va:80_GeneralMotors_Trackers2_Bonificada_5.700_31Ene,576,115,97,93,87,82,98,3,"0,00","0,00","0,00"
13/01/2022,YNU_Ariadna_EC_all_CPV_USD:0.012_:_GeoIP:EC_vtr:70_va:80_GeneralMotors_Trackers3_Bonificada_5.700_31Ene,482,134,115,105,101,96,114,0,"0,00","0,00","0,00"
14/01/2022,YNU_Ariadna_EC_all_CPV_USD:0.012_:_GeoIP:EC_vtr:70_va:80_GeneralMotors_Trackers3_Bonificada_5.700_31Ene,554,126,108,100,95,91,107,2,"0,00","0,00","0,00"
15/01/2022,YNU_Ariadna_EC_all_CPV_USD:0.012_:_GeoIP:EC_vtr:70_va:80_GeneralMotors_Trackers3_Bonificada_5.700_31Ene,596,139,119,111,105,100,120,4,"0,00","0,00","0,00"
16/01/2022,YNU_Ariadna_EC_all_CPV_USD:0.012_:_GeoIP:EC_vtr:70_va:80_GeneralMotors_Trackers3_Bonificada_5.700_31Ene,578,132,112,103,100,95,111,3,"0,00","0,00","0,00"
