Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
21/12/2021,JRU_RoyalComunicacion_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:70_va:80_Alcampo_Abuelos_26.563_5Ene,5066,1648,1445,1338,1256,1170,1340,10,26.91,8.073,18.837
21/12/2021,JRU_RoyalComunicacion_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:70_va:80_Alcampo_Decoracion_26.563_5Ene,8396,1815,1587,1474,1376,1288,1495,11,29.624,8.8872,20.7368
21/12/2021,JRU_RoyalComunicacion_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:70_va:80_Alcampo_Mascota_26.563_5Ene,17157,1530,1382,1330,1260,1208,1276,7,27.784,8.3352,19.4488
21/12/2021,JRU_RoyalComunicacion_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:70_va:80_Alcampo_Navidad_26.563_5Ene,15537,2177,1898,1762,1640,1524,1807,11,35.052,10.5156,24.5364
21/12/2021,JRU_RoyalComunicacion_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:70_va:80_Alcampo_Pareja_26.563_5Ene,11502,1872,1653,1562,1464,1385,1548,11,31.855,9.5565,22.2985
21/12/2021,JRU_RoyalComunicacion_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:70_va:80_Alcampo_Regalos_26.563_5Ene,14684,2656,2288,2135,2022,1859,2195,13,42.757,12.8271,29.9299
21/12/2021,JRU_RoyalComunicacion_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:70_va:80_Alcampo_Viajeros_26.563_5Ene,3709,2032,1774,1652,1545,1442,1670,11,33.166,9.9498,23.2162
21/12/2021,JRU_RoyalComunicacion_ES_All_CPV_USD:0.023_EUR:0.02_GeoIP:ES_vtr:70_va:80_Alcampo_Videollamada_26.563_5Ene,6485,1998,1734,1648,1512,1437,1639,14,33.051,9.9153,23.1357
22/12/2021,JRU_OportunidadesCanarias_ES_All_CPV_USD:0.0079_EUR:0.007_GeoIP:ES_vtr:70_va:80_Ermol_Nata_arandanos_145.000_26Dic,21336,1807,1563,1448,1355,1289,1493,6,100.488,20.0976,80.3904
22/12/2021,JRU_OportunidadesCanarias_ES_All_CPV_USD:0.0079_EUR:0.007_GeoIP:ES_vtr:70_va:80_Ermol_Nata_nueces_145.000_26Dic,20142,1727,1499,1369,1296,1248,1416,8,96.222,19.2444,76.9776
