Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
10/12/2021,OMT_Untold_CO_All_CPM_USD:6.28_COP:25000_GeoIP:CO_vtr:70_va:80_ctr:.50_CentroComercialSantaFe_ArbolDeLosDeseos_140.000_26Dic,7.674,5.597,4.722,4.588,4.268,4.164,4.770,31,"35,15","7,06","28,09"
11/12/2021,OMT_Untold_CO_All_CPM_USD:6.28_COP:25000_GeoIP:CO_vtr:70_va:80_ctr:.50_CentroComercialSantaFe_ArbolDeLosDeseos_140.000_26Dic,7.761,5.626,4.749,4.509,4.315,4.070,4.857,46,"35,33","7,1","28,23"
12/12/2021,OMT_Untold_CO_All_CPM_USD:6.28_COP:25000_GeoIP:CO_vtr:70_va:80_ctr:.50_CentroComercialSantaFe_ArbolDeLosDeseos_140.000_26Dic,8.342,5.649,4.807,4.537,4.259,4.140,4.879,27,"35,48","7,1","28,38"
13/12/2021,OMT_Untold_CO_All_CPM_USD:6.28_COP:25000_GeoIP:CO_vtr:70_va:80_ctr:.50_CentroComercialSantaFe_ArbolDeLosDeseos_140.000_26Dic,7.805,5.578,4.719,4.503,4.280,4.044,4.773,35,"35,03","7,04","27,99"
14/12/2021,OMT_Untold_CO_All_CPM_USD:6.28_COP:25000_GeoIP:CO_vtr:70_va:80_ctr:.50_CentroComercialSantaFe_ArbolDeLosDeseos_140.000_26Dic,8.000,5.681,4.858,4.596,4.369,4.155,4.778,23,"35,68","7,17","28,51"
15/12/2021,OMT_Untold_CO_All_CPM_USD:6.28_COP:25000_GeoIP:CO_vtr:70_va:80_ctr:.50_CentroComercialSantaFe_ArbolDeLosDeseos_140.000_26Dic,8.358,5.573,4.698,4.505,4.218,4.032,4.707,31,35,"7,01","27,99"
16/12/2021,OMT_Untold_CO_All_CPM_USD:6.28_COP:25000_GeoIP:CO_vtr:70_va:80_ctr:.50_CentroComercialSantaFe_ArbolDeLosDeseos_140.000_26Dic,8.384,5.589,4.783,4.526,4.232,4.095,4.778,26,"35,1","7,02","28,08"
17/12/2021,OMT_Untold_CO_All_CPM_USD:6.28_COP:25000_GeoIP:CO_vtr:70_va:80_ctr:.50_CentroComercialSantaFe_ArbolDeLosDeseos_140.000_26Dic,8.470,5.753,4.898,4.608,4.417,4.180,4.891,32,"36,13","7,22","28,91"
18/12/2021,OMT_Untold_CO_All_CPM_USD:6.28_COP:25000_GeoIP:CO_vtr:70_va:80_ctr:.50_CentroComercialSantaFe_ArbolDeLosDeseos_140.000_26Dic,7.918,5.602,4.785,4.516,4.275,4.143,4.795,29,"35,18","7,05","28,13"
19/12/2021,OMT_Untold_CO_All_CPM_USD:6.28_COP:25000_GeoIP:CO_vtr:70_va:80_ctr:.50_CentroComercialSantaFe_ArbolDeLosDeseos_140.000_26Dic,8.329,5.664,4.788,4.602,4.330,4.206,4.860,34,"35,57","7,13","28,44"
20/12/2021,OMT_Untold_CO_All_CPM_USD:6.28_COP:25000_GeoIP:CO_vtr:70_va:80_ctr:.50_CentroComercialSantaFe_ArbolDeLosDeseos_140.000_26Dic,8.110,5.630,4.841,4.543,4.287,4.088,4.823,33,"35,36","7,03","28,33"
