Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
02/03/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:AR_vtr:75_va:80_Aruba_Equity_Argentina_2.204_6Feb,1219,865,771,720,676,640,732,10,19.2,5.76,13.44
02/04/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:AR_vtr:75_va:80_Aruba_Equity_Argentina_2.204_6Feb,901,551,488,460,433,407,467,1,12.21,3.68,8.53
02/05/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:AR_vtr:75_va:80_Aruba_Equity_Argentina_2.204_6Feb,641,452,399,372,350,330,380,5,9.9,2.98,6.92
02/06/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:AR_vtr:75_va:80_Aruba_Equity_Argentina_2.204_6Feb,1972,1371,1216,1140,1074,1020,1172,6,30.6,9.19,21.41
02/03/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:CL_vtr:75_va:80_Aruba_Equity_Chile_2.038_6Feb,2592,1901,1695,1595,1487,1425,1642,18,42.75,12.82,29.93
02/04/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:CL_vtr:75_va:80_Aruba_Equity_Chile_2.038_6Feb,872,678,601,565,528,502,569,5,15.06,4.53,10.53
02/05/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:CL_vtr:75_va:80_Aruba_Equity_Chile_2.038_6Feb,449,337,299,280,261,248,283,4,7.44,2.232,5.208
02/06/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:CL_vtr:75_va:80_Aruba_Equity_Chile_2.038_6Feb,445,338,299,280,261,246,284,4,7.38,2.214,5.166
02/03/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:EC_vtr:75_va:80_Aruba_Equity_Ecuador_214_6Feb,172,133,118,111,103,98,111,1,2.94,0.88,2.06
02/04/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:EC_vtr:75_va:80_Aruba_Equity_Ecuador_214_6Feb,81,64,58,53,49,46,53,1,1.38,0.44,0.94
02/05/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:EC_vtr:75_va:80_Aruba_Equity_Ecuador_214_6Feb,81,66,64,56,52,48,55,0,1.44,0.46,0.98
02/06/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:EC_vtr:75_va:80_Aruba_Equity_Ecuador_214_6Feb,85,68,64,57,53,49,58,0,1.47,0.46,1.01
02/06/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:UY_vtr:75_va:80_Aruba_Equity_Uruguay_427_6Feb,470,392,372,342,315,301,348,13,9.03,2.93,6.1
02/01/2022,ANB_XTB_ES_All_CPV_USD:0.019_EUR:0.017_GeoIP:ES_vtr:70_va:80_XTB_ctr:2_588.236_30Mar,36612,15159,10979,9343,8261,8075,12729,880,153.43,0,0
