Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
02/03/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:PY_vtr:75_va:80_Aruba_Equity_Paraguay_427_6Feb,145,115,102,96,89,85,97,1,2.54,0.762,1.778
02/04/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:PY_vtr:75_va:80_Aruba_Equity_Paraguay_427_6Feb,190,132,118,102,96,91,104,0,2.73,0.819,1.911
02/05/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:PY_vtr:75_va:80_Aruba_Equity_Paraguay_427_6Feb,168,134,119,108,96,93,103,2,2.79,0.837,1.953
02/06/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:PY_vtr:75_va:80_Aruba_Equity_Paraguay_427_6Feb,397,294,272,252,238,230,237,4,6.9,2.07,4.8
02/07/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:PY_vtr:75_va:80_Aruba_Equity_Paraguay_427_6Feb,0,0,0,0,0,0,0,0,0,0,0
02/07/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:AR_vtr:75_va:80_Aruba_Equity_Argentina_2.204_6Feb,0,0,0,0,0,0,0,0,0,0,0
02/07/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:CL_vtr:75_va:80_Aruba_Equity_Chile_2.038_6Feb,0,0,0,0,0,0,0,0,0,0,0
02/07/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:EC_vtr:75_va:80_Aruba_Equity_Ecuador_214_6Feb,0,0,0,0,0,0,0,0,0,0,0
02/07/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:UY_vtr:75_va:80_Aruba_Equity_Uruguay_427_6Feb,0,0,0,0,0,0,0,0,0,0,0
02/07/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:CO_vtr:75_va:80_Aruba_Equity_Colombia_3.995_6Feb,0,0,0,0,0,0,0,0,0,0,0
02/07/2022,CVE_MassDigital_CO_All_CPV_USD:0.03_:_GeoIP:PE_vtr:75_va:80_Aruba_Equity_Peru_1.093_6Feb,0,0,0,0,0,0,0,0,0,0,0
