Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
12/07/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,7414549,734,601,547,529,483,610,2,4.4,1.1,3.3
12/07/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,7454080,4745,3738,3367,3126,2788,3916,14,28.47,7.1175,21.3525
12/07/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,9851246,4967,4033,3592,3311,2947,4178,23,29.8,7.45,22.35
12/08/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,8785,2402,1899,1735,1599,1447,1997,15,14.41,3.6025,10.8075
12/08/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,220430,6274,4763,4194,3840,3430,5251,34,37.64,9.41,28.23
12/08/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,7196741,5624,4273,3734,3384,2930,4676,22,33.74,8.435,25.305
12/09/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,5351,1985,1537,1354,1239,1133,1661,12,11.91,2.9775,8.9325
12/09/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,177947,6427,5023,4441,4047,3610,5370,20,38.56,9.64,28.92
12/09/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,6460991,6341,4985,4362,3968,3516,5270,28,38.05,9.5125,28.5375
12/10/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,3277,1107,931,842,781,700,932,3,6.64,1.66,4.98
12/10/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,72867,5821,4975,4542,4223,3880,4834,11,34.93,8.7325,26.1975
12/10/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,2080036,6789,5741,5212,4797,4362,5670,30,40.73,10.1825,30.5475
12/11/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,3072,940,752,684,625,563,793,3,5.64,1.41,4.23
12/11/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,49265,5968,4902,4420,4096,3756,4910,15,35.81,8.9525,26.8575
12/11/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,568514,5859,5052,4546,4170,3778,4901,25,35.15,8.7875,26.3625
12/12/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,4281,1268,1041,933,844,768,1058,4,7.61,1.9025,5.7075
12/12/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,59712,6174,5062,4536,4176,3825,5115,18,37.04,9.26,27.78
12/12/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,693106,5639,4819,4284,3890,3530,4698,26,33.83,8.4575,25.3725
12/13/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,4494,1337,1156,1059,986,918,1121,6,8.02,2.005,6.015
12/13/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,75691,5311,4508,4103,3836,3573,4372,11,31.87,7.9675,23.9025
12/13/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,838480,5840,5094,4695,4366,4039,4838,16,35.04,8.76,26.28
12/14/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,4444,953,771,709,646,582,809,1,5.72,1.43,4.29
12/14/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,55796,5428,4596,4181,3885,3588,4520,12,32.57,8.1425,24.4275
12/14/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,552088,5951,5351,5053,4838,4573,4971,3,35.71,8.9275,26.7825
12/15/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,35960,4307,3434,3032,2782,2500,3544,4,25.84,6.46,19.38
12/15/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,94260,5160,4235,3776,3509,3229,4269,13,30.96,7.74,23.22
12/15/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,603198,4864,4340,4114,3913,3671,4058,6,29.18,7.295,21.885
12/16/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,261775,4049,3180,2794,2526,2263,3359,17,24.29,6.0725,18.2175
12/16/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,314026,4006,2773,2228,1961,1676,3321,19,24.04,6.01,18.03
12/16/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,708254,3709,3223,2935,2738,2547,3091,6,22.25,5.5625,16.6875
12/17/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,222076,3992,3223,2905,2677,2417,3283,14,23.95,5.9875,17.9625
12/17/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,172275,4029,3375,3032,2787,2547,3370,7,24.17,6.0425,18.1275
12/17/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,738704,4223,3723,3428,3237,3005,3542,8,25.34,6.335,19.005
12/18/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,125120,4014,2726,2304,2052,1787,3334,13,24.08,6.02,18.06
12/18/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,133082,3921,3184,2832,2563,2294,3307,22,23.53,5.8825,17.6475
12/18/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,396618,4193,3718,3417,3156,2883,3453,10,25.16,6.29,18.87
12/19/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,128227,3900,3077,2713,2477,2206,3268,10,23.4,5.85,17.55
12/19/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,157187,3875,3149,2727,2444,2166,3200,17,23.25,5.8125,17.4375
12/19/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,407463,3782,3313,3045,2830,2569,3159,9,22.69,5.6725,17.0175
12/20/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,165213,3879,3061,2684,2480,2240,3246,12,23.27,5.8175,17.4525
12/20/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,171010,3798,3039,2610,2367,2134,3170,7,22.79,5.6975,17.0925
12/20/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,703418,4307,3701,3415,3151,2905,3605,7,25.84,6.46,19.38
12/21/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,137963,3752,2846,2530,2293,2068,3127,14,22.51,5.6275,16.8825
12/21/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Coquimbo_131.111_31Dic,164396,3751,3152,2818,2576,2305,3147,11,22.51,5.6275,16.8825
12/21/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_RM_131.111_31Dic,828321,3991,3487,3222,2979,2763,3343,8,23.95,5.9875,17.9625
12/22/2021,CLI_OMD_CL_all_CPM_USD:6_:_GeoIP:CL_vtr:70_va:80_UniversidadCentral_Atacama_131.111_31Dic,155911,3647,2771,2370,2116,1865,3036,15,21.88,5.47,16.41
