Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
2/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_2x1Pre_26.924_31Dic,8.534,1.050,910,883,810,741,900,14,"24,45","5,38","19,07"
2/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_AppMiClaro_26.924_31Dic,8.535,1.044,1.066,929,826,752,928,18,"24,82","5,46","19,36"
2/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_Club_26.924_31Dic,8.534,1.099,1.120,988,878,786,951,16,"25,94","5,71","20,23"
2/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_PagoVirtual_26.924_31Dic,8.534,1.204,1.166,1.024,936,849,1.040,13,"28,02","6,16","21,86"
3/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_2x1Pre_26.924_31Dic,2.405,285,322,270,229,203,250,2,"6,7","1,43","5,27"
3/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_AppMiClaro_26.924_31Dic,2.405,313,341,286,242,220,276,9,"7,26","1,61","5,65"
3/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_Club_26.924_31Dic,2.405,342,351,302,272,247,294,1,"8,15","1,81","6,34"
3/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_PagoVirtual_26.924_31Dic,2.405,399,383,331,301,281,340,9,"9,27","2,03","7,24"
4/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_2x1Pre_26.924_31Dic,2.522,324,369,308,272,238,286,6,"7,85","1,75","6,1"
4/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_AppMiClaro_26.924_31Dic,2.522,328,383,322,277,233,286,3,"7,69","1,7","5,99"
4/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_Club_26.924_31Dic,2.522,303,350,289,248,222,261,4,"7,33","1,57","5,76"
4/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_PagoVirtual_26.924_31Dic,2.522,374,368,325,296,270,332,4,"8,91","1,94","6,97"
5/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_2x1Pre_26.924_31Dic,2.495,306,338,294,265,226,262,9,"7,46","1,63","5,83"
5/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_AppMiClaro_26.924_31Dic,2.495,344,383,321,277,250,293,13,"8,25","1,85","6,4"
5/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_Club_26.924_31Dic,2.495,290,335,280,245,210,259,3,"6,93","1,54","5,39"
5/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_PagoVirtual_26.924_31Dic,2.495,393,381,340,305,276,351,6,"9,11","1,99","7,12"
6/12/2021,AMU_Adbid_CO_all_CPV_USD:0.033_COP:130_GeoIP:CO_vtr:_va:_Claro_2x1Pre_26.924_31Dic,2.610,306,364,291,250,218,261,3,"7,19","1,57","5,62"
