Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
11/12/2021,OMT_Untold_CO_All_CPM_USD:6.43_COP:25000_GeoIP:CO_vtr:70_va:80_iFood_FestivalPedire_320.000_22Dic,47.626,26.900,23.637,22.583,20.813,20.014,23.792,208,"172,97","34,59","138,38"
12/12/2021,OMT_Untold_CO_All_CPM_USD:6.43_COP:25000_GeoIP:CO_vtr:70_va:80_iFood_FestivalPedire_320.000_22Dic,50.044,26.866,23.905,22.183,20.810,20.015,23.667,181,"172,75","34,54","138,21"
13/12/2021,OMT_Untold_CO_All_CPM_USD:6.43_COP:25000_GeoIP:CO_vtr:70_va:80_iFood_FestivalPedire_320.000_22Dic,54.239,27.038,23.896,22.333,20.981,19.800,23.593,169,"173,85","34,76","139,09"
14/12/2021,OMT_Untold_CO_All_CPM_USD:6.43_COP:25000_GeoIP:CO_vtr:70_va:80_iFood_FestivalPedire_320.000_22Dic,51.512,26.913,23.592,22.370,20.938,19.539,23.535,187,"173,05","34,62","138,43"
15/12/2021,OMT_Untold_CO_All_CPM_USD:6.43_COP:25000_GeoIP:CO_vtr:70_va:80_iFood_FestivalPedire_320.000_22Dic,50.492,26.988,23.623,22.521,21.261,20.182,23.553,216,"173,53","34,7","138,83"
16/12/2021,OMT_Untold_CO_All_CPM_USD:6.43_COP:25000_GeoIP:CO_vtr:70_va:80_iFood_FestivalPedire_320.000_22Dic,49.965,26.972,23.382,22.578,21.286,19.940,23.804,175,"173,43","34,7","138,73"
17/12/2021,OMT_Untold_CO_All_CPM_USD:6.43_COP:25000_GeoIP:CO_vtr:70_va:80_iFood_FestivalPedire_320.000_22Dic,49.445,27.034,23.860,22.533,21.189,20.267,23.818,202,"173,83","34,77","139,06"
18/12/2021,OMT_Untold_CO_All_CPM_USD:6.43_COP:25000_GeoIP:CO_vtr:70_va:80_iFood_FestivalPedire_320.000_22Dic,48.949,26.981,23.784,22.329,20.910,19.556,23.562,188,"173,49","34,69","138,8"
19/12/2021,OMT_Untold_CO_All_CPM_USD:6.43_COP:25000_GeoIP:CO_vtr:70_va:80_iFood_FestivalPedire_320.000_22Dic,50.267,26.958,23.400,22.507,20.874,19.825,23.699,198,"173,34","34,66","138,68"
20/12/2021,OMT_Untold_CO_All_CPM_USD:6.43_COP:25000_GeoIP:CO_vtr:70_va:80_iFood_FestivalPedire_320.000_22Dic,49.129,26.834,23.187,22.385,20.780,19.514,23.534,208,"172,54","34,52","138,02"
