Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
3/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,46.111,27.326,24.746,23.389,21.617,20.144,21.964,145,"122,97","18,45","104,52"
4/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,41.297,27.191,23.253,21.878,20.021,19.397,22.513,163,"122,36","18,35","104,01"
5/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,40.212,27.107,23.969,21.398,20.984,19.932,22.907,199,"121,98","18,29","103,69"
6/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,43.006,27.241,23.387,21.997,20.915,19.718,21.986,145,"122,58","18,36","104,22"
7/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,42.975,27.217,22.349,20.810,19.951,18.369,22.087,190,"122,48","18,33","104,15"
8/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,43.078,27.283,23.274,21.758,19.922,18.240,22.761,213,"122,77","18,42","104,35"
9/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,43.203,27.263,22.374,19.799,18.597,17.301,21.958,195,"122,68","18,43","104,25"
10/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,46.946,27.276,22.576,21.124,19.952,18.709,21.612,173,"122,74","18,38","104,36"
11/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,50.370,27.179,22.959,21.556,19.972,19.155,23.129,163,"122,31","18,36","103,95"
12/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,50.042,27.210,23.234,21.991,20.554,19.774,23.675,180,"122,44","18,35","104,1"
13/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,46.829,27.307,23.120,20.918,20.329,19.794,22.989,156,"122,88","18,48","104,4"
14/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,49.502,27.231,23.044,21.793,20.111,19.643,22.714,127,"122,54","18,37","104,17"
15/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,51.222,26.972,23.011,21.815,20.210,19.707,22.745,143,"121,37","18,21","103,16"
16/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,49.562,27.289,23.071,21.871,20.211,19.723,22.952,139,"122,8","18,41","104,39"
17/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,53.207,28.360,23.857,22.505,21.692,20.132,23.649,136,"127,62","19,14","108,48"
18/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,43.351,27.742,23.497,22.251,21.435,19.907,24.635,209,"124,84","18,71","106,13"
19/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,40.798,27.830,23.705,22.479,21.751,20.193,24.961,172,"125,24","18,81","106,43"
20/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,40.807,27.223,23.006,20.847,19.696,18.566,23.696,160,"122,5","18,35","104,15"
21/12/2021,DAI_Bullmetrix_AR_All_CPM_USD:4.5_:_GeoIP:AR_vtr:70_va:80_RipioAR_Brandlift_BaseApp+SkinV2_833.333_31Dic,42.255,27.112,23.327,21.853,20.910,19.505,23.343,142,122,"18,3","103,7"
