Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
11/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Trabajo_41.667_31Dic,3.760,2.590,2.225,2.154,2.041,1.913,2.142,15,"57,39","25,8255","31,5645"
12/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Trabajo_41.667_31Dic,3.534,2.337,2.051,1.955,1.818,1.762,1.938,19,"52,86","23,787","29,073"
13/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Trabajo_41.667_31Dic,3.945,2.746,2.375,2.286,2.167,2.044,2.323,19,"61,32","27,594","33,726"
14/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Trabajo_41.667_31Dic,3.813,2.521,2.157,2.047,1.984,1.890,2.130,20,"56,7","25,515","31,185"
15/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Trabajo_41.667_31Dic,4.452,2.768,2.376,2.319,2.155,2.087,2.357,19,"62,61","28,1745","34,4355"
16/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Trabajo_41.667_31Dic,3.691,2.268,1.966,1.876,1.790,1.719,1.872,14,"51,57","23,2065","28,3635"
17/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Trabajo_41.667_31Dic,3.875,2.377,2.051,1.995,1.835,1.746,1.994,15,"52,38","23,571","28,809"
18/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Trabajo_41.667_31Dic,3.579,2.510,2.143,2.069,1.963,1.894,2.167,20,"56,82","25,569","31,251"
19/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Trabajo_41.667_31Dic,3.287,2.474,2.132,2.068,1.932,1.818,2.114,23,"54,54","24,543","29,997"
20/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Trabajo_41.667_31Dic,3.323,2.399,2.062,1.958,1.894,1.816,2.018,19,"54,48","24,516","29,964"
