Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
10/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Ciudad_56.667_31Dic,4.564,2.890,2.463,2.380,2.220,2.103,2.470,6,"63,09","28,39","34,7"
11/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Ciudad_56.667_31Dic,4.621,3.106,2.722,2.551,2.415,2.249,2.648,25,"67,47","30,36","37,11"
12/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Ciudad_56.667_31Dic,4.602,3.217,2.739,2.641,2.458,2.291,2.792,27,"68,73","30,93","37,8"
13/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Ciudad_56.667_31Dic,4.544,3.029,2.640,2.502,2.352,2.202,2.639,22,"66,06","29,73","36,33"
14/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Ciudad_56.667_31Dic,4.590,3.053,2.685,2.549,2.296,2.201,2.594,24,"66,03","29,71","36,32"
15/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Ciudad_56.667_31Dic,4.376,2.866,2.446,2.382,2.155,2.076,2.450,15,"62,28","28,03","34,25"
16/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Ciudad_56.667_31Dic,4.490,3.096,2.716,2.529,2.379,2.207,2.647,21,"66,21","29,79","36,42"
17/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Ciudad_56.667_31Dic,4.274,2.940,2.573,2.396,2.290,2.137,2.539,11,"64,11","28,85","35,26"
18/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Ciudad_56.667_31Dic,4.235,3.100,2.651,2.576,2.367,2.251,2.617,24,"67,53","30,39","37,14"
19/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Ciudad_56.667_31Dic,4.167,3.019,2.588,2.523,2.272,2.203,2.645,24,"66,09","29,74","36,35"
20/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Ciudad_56.667_31Dic,4.149,2.952,2.584,2.406,2.285,2.106,2.516,13,"63,18","28,43","34,75"
21/12/2021,ARO_Carat_AR_All_CPV_USD:0.03_ARS:3_GeoIP:AR_vtr:70_va:70_GeneralMotors_S10Ciudad_56.667_31Dic,4.272,2.939,2.525,2.461,2.249,2.124,2.583,12,"63,72","28,67","35,05"
