Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
2/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,4.736,2.365,2.053,1.927,1.802,1.735,1.965,50,"26,02","8,29","17,74"
3/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,4.959,2.282,1.968,1.892,1.780,1.685,1.901,40,"25,28","8,09","17,19"
4/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,4.586,2.290,1.933,1.862,1.750,1.687,1.943,38,"25,3","8,07","17,24"
5/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,4.753,2.420,2.073,2.030,1.821,1.711,2.080,53,"25,66","8,19","17,47"
6/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,4.783,2.259,1.946,1.886,1.753,1.665,1.887,50,"24,98","7,97",17
7/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,4.837,2.308,1.951,1.918,1.799,1.636,1.946,43,"24,54","7,86","16,68"
8/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,4.685,2.405,2.052,1.987,1.832,1.744,2.062,40,"26,16","8,37","17,79"
9/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,4.970,2.629,2.256,2.175,2.032,1.864,2.187,35,"27,96","8,9","19,06"
10/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,5.417,2.464,2.111,2.017,1.860,1.793,2.053,29,"26,89","8,6","18,29"
11/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,5.330,2.616,2.243,2.195,1.980,1.841,2.210,40,"27,62","8,86","18,75"
12/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,6.051,2.397,2.028,1.954,1.810,1.756,2.000,41,"26,34","8,42","17,92"
13/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,5.403,2.410,2.069,1.982,1.817,1.721,2.004,44,"25,82","8,26","17,56"
14/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,5.389,2.478,2.131,2.079,1.871,1.750,2.102,37,"26,25","8,39","17,86"
15/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,5.319,2.478,2.148,2.063,1.888,1.781,2.067,36,"26,71","8,55","18,16"
16/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,5.358,2.397,2.084,1.977,1.851,1.757,2.025,48,"26,36","8,39","17,97"
17/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,5.461,2.508,2.141,2.051,1.921,1.834,2.109,39,"27,51","8,8","18,71"
18/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,4.859,2.917,2.468,2.398,2.242,2.122,2.469,68,"31,83","10,17","21,66"
19/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,4.872,2.886,2.495,2.343,2.250,2.135,2.436,55,"32,03","10,23","21,8"
20/12/2021,JOS_AWA_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SegurosEquinoccial_Navidad_45.000_25Dic,4.781,2.852,2.458,2.365,2.191,2.002,2.441,62,"30,03","9,56","20,47"
