Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
12/04/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,16033,9420,8164,7420,6888,6429,7658,68,289.3,101.26,188.04
12/05/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,12997,9179,8116,7424,6877,6428,7803,64,289.26,101.26,188
12/06/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,13698,9086,7979,7347,6888,6470,7376,54,291.15,101.9,189.25
12/07/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,13575,9326,7993,7309,6782,6367,7431,71,286.52,100.24,186.28
12/08/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,13778,9154,8183,7456,6879,6424,7781,81,289.08,101.18,187.9
12/09/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,14144,9117,8083,7311,6781,6358,7450,63,286.11,100.15,185.96
12/10/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,14592,9382,8074,7395,6841,6380,7146,64,287.1,100.46,186.64
12/11/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,14507,9038,8166,7412,6846,6357,7591,84,286.07,100.12,185.95
12/12/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,14151,9046,8118,7303,6724,6293,7720,86,283.19,99.12,184.07
12/13/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,14507,9080,8077,7352,6827,6374,7453,64,286.83,100.39,186.44
12/14/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,14814,9044,8083,7365,6849,6412,7297,59,288.54,100.97,187.57
12/15/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,16408,9096,7979,7214,6717,6269,7375,53,282.1,98.73,183.37
12/16/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,17200,9132,8095,7398,6884,6429,7213,62,289.3,101.28,188.02
12/17/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,14776,9291,8070,7387,6909,6437,7342,55,289.67,101.35,188.32
12/18/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,13179,9056,8107,7410,6901,6424,7825,53,289.08,101.18,187.9
12/19/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,13257,9037,8103,7386,6819,6358,8026,75,286.11,100.12,185.99
12/20/2021,FCA_Starcom_AR_all_CPV_USD:0.045_ARS:4.5_GeoIP:AR_vtr:70_va:80_Puig_FireXmasRapsodia_133.333_24Dic,13328,9099,8081,7351,6801,6385,7751,53,287.32,100.57,186.75
