id,name,lkqd_id
1,Spring_Tests-Eric,38719
5,"eric portugal",40513
10,prueba_paricia,40932
14,Amnet_CO_all,40821
15,Publicis_CO,40119
16,Publicis_PA_All,40928
17,Cadreon_CO_all,40846
22,BOM_ES_All,40853
24,Xaxis_CO_all,40812
25,Affiperf_CL_all,40796
26,OMD_MX,40116
28,Cheil_CO_Samsung,40857
41,"Starcom Mexico",39565
42,Havas_CL_All,40877
47,Cadreon_CL_all,40849
48,Havas_PE_all,40789
49,Amnet_AR_all,40820
51,Precision_PE_all,40933
56,Latam_PA_ALL,40384
59,Xaxis_ES_All,40811
63,OMD_CL_All,40465
65,"Forward Costa Rica",40889
66,Thrive_CO_Nestle,40838
67,ZetaGlobal_MX_All,40801
68,ME_BancoPromerica,39525
73,Havas_es_all,39892
77,AdBid_CO,38998
84,Thrive_EC_Nestle,40839
86,OMG_AR_All,40952
90,Ariadna_EC,39597
93,"PHD Argentina",39656
101,iProspect_BR_all,40861
107,OMD_ES_All,40950
109,Havas_CO_All,40257
110,"wearematterkind ecuador",39657
119,Cadreon_AR_all,40850
123,"IPG Mediabrands",39690
125,"PHD Spain",39730
126,PHD_Guatemala,39695
130,Galileo_CostaRica,40442
135,OMD_Guatemala,39787
137,AlmapBBDO_BR,39929
140,"Publicis BR",39723
142,IPG_ecuador,39682
143,Rebold_CO_All,40386
146,"Relevance Argentina",39741
150,Publicis_AR_All,40931
153,"PuntoAparte Panama",39747
157,IPG_CL_All,40868
159,Wink_Spain,40058
161,"MOLA COLOMBIA",39759
162,OMD_Panama,39765
163,IPG_AR_All,40870
172,Publicis_CR_All,40929
184,Turner,39783
187,"Dentsu CO",39790
193,eric_test2,40774
197,IPG_PE_All,40867
199,"XT Media",40808
200,XTMEDIA,40807
208,XTMedia_BR_All,40806
214,Havas_AR_All,39917
218,"Forward argentina",39864
225,Reamp_BR_All,40925
226,OMD_Colombia,39799
227,"starcom guatemala",39846
230,Carat_CO,39228
233,Amnet_UK_All,40825
234,Mindshare_MX_all,40941
237,OMD_US_All,40951
239,PHD_Spain,40335
249,"PHD Colombia",39835
252,MaruriGrey_EC_all,39839
272,BBM_Panama,39808
274,WMcCANN_BR_All,40816
275,GlobalMind_AR_All,40895
276,Matterkind_BR_All,40908
279,"PHD Chile",40699
281,Ogilvy_GT_All,39879
289,Mostro_GT,39885
296,AsPublicidad,40831
297,LaPequeñaFabrica_ES,39902
305,"OportunidadesCanarias_ES (OPC_ES)",39913
306,Liverpool_MX_All,40905
307,Starcom_AR,39914
312,Publicis_GT,39918
317,Star5Creative_PA,39927
324,Eikon_CO_All,40885
329,OMD_EC,39940
330,Cubocc_BR_All,40273
332,Havas_EC,39981
335,OMD_UY_All,40668
336,PlaceboMedia_ES_All,40959
339,PublicidadAtlantis_ES,39974
343,Verizon_BR_All,40842
347,HelloMedia_ES,39990
353,TarekNourAdvertising_EG,40006
356,Vercine_ES,40014
357,OMD_CR_All,39750
365,Xaxis_AR_All,40814
366,WundermanThompson_BR_All,40815
369,Beyond_US_All,40848
370,Targetopia_ES_All,40832
372,Iprospect_CL_All,40251
374,ParadaisDDB_EC,40029
377,Equmedia_ES,40032
379,OMD_TR,40737
380,Amnet_TR_All,40824
382,T2O_ES_All,40035
383,BETC_BR,40036
388,BlackSip_CO,40044
391,TTPTOM_GT,40047
393,Matterkind_MX_All,40911
395,Mediacom_MX_All,40936
398,Beat_CO,40184
402,Artefact_ES_All,40830
415,JFT_ES_ALL,40083
416,T2O_MX,40085
417,InfinityMedia,40093
430,Oblicua_ES,40100
436,Gesmedia_ES,40102
437,Sapient_BR_All,40920
441,Flo_Turkey,40109
