"SspId","BidRequests","Responses","Cost","Revenue","Profit","BidRequestAvoided","Blocked"
"62201","2568608129","9179549","19461.875624008626","30363.144749189316","10901.26912518069","0","6496447"
"62133","4465112415","33410211","16412.83401040723","23446.905729153175","7034.071718745945","0","126357967"
"62170","3265333263","9752485","14923.016887932872","21318.595554189826","6395.5786662569535","0","98108189"
"62199","3175773461","58108571","8217.695291095219","8879.66894837901","661.9736572837919","0","98665229"
"62181","1546242923","112414142","8193.266712565879","11704.666732236974","3511.400019671095","0","849965"
"62209","919212233","2475087","7524.847046833592","10062.127873363614","2537.280826530022","0","171502677"
"62220","292085176","573888","6472.014297892622","8203.136736492477","1731.1224385998548","0","569233"
"62169","3614734583","215721973","6393.755130964143","9133.935901377357","2740.1807704132143","0","566698292"
"62210","1998469540","15991383","5373.95756647696","7629.2226515042585","2255.2650850272985","0","312245279"
"62186","1439269449","14360414","5143.466449275476","7156.503299028255","2013.0368497527788","0","1565073"
"62183","3640443388","71635102","3854.1981227392052","4950.550601814469","1096.3524790752635","0","765712818"
"62155","2759634729","11051480","3389.9610957807863","4780.357972934727","1390.3968771539403","0","746080857"
"62140","619759058","21438026","3275.861957865966","4679.802796951383","1403.9408390854173","0","0"
"10","3655596252","75353975","3024.299464259308","3510.4074690294265","486.10800477011844","0","0"
"62157","2578105470","145852749","2346.859128243081","3352.655897490123","1005.796769247042","0","7838209"
"62178","506879601","55406678","1814.3556397125553","2591.9366281607895","777.5809884482342","0","17876"
"62135","1700609963","96307554","1453.0064036530553","1453.0064036530553","0","0","3979210"
"62163","1636424741","1148081","1026.9297710968367","1421.3938834968496","394.46411240001294","0","170770101"
"62180","770097522","8553157","828.1428020714246","988.3520415720993","160.2092395006747","0","47"
"62139","316617284","7522800","794.9293891112587","1059.905852148346","264.9764630370872","0","17468013"
"62159","350628265","417494","693.8776792813397","816.3266815074574","122.44900222611761","0","504634"
"62200","63475292","128701","593.4950813018958","593.4950813018958","0","0","595561"
"62184","1067439900","15269535","535.0287546287034","535.0287546287034","0","0","887398"
"62150","666066545","39827258","520.1052675224755","743.0075250321092","222.90225750963373","0","0"
"62146","173541416","435704","386.7184915399593","386.7184915399593","0","0","0"
"62211","839781045","16585220","381.7714804118129","545.3878291597315","163.6163487479186","0","616015851"
"62165","372155912","7264067","341.40401204411694","455.205349392156","113.80133734803906","0","361"
"51743","1200524116","11589339","335.77385686307775","335.77385686307775","0","0","93998252"
"62167","229024285","3918401","292.6215623259393","292.6215623259393","0","0","1276"
"62214","1357279410","30212416","275.405619925105","275.405619925105","0","0","4237"
"62164","91951629","118998","219.95574059244043","219.95574059244043","0","0","139"
"62217","43199937","1774096","184.49019601537375","184.49019601537375","0","0","100275"
"11","28166608","4028781","166.5974572195096","237.99636745644207","71.39891023693247","0","15"
"62223","1052436","13983","158.85192512700004","158.85192512700004","0","0","79389"
"62188","8361261","321340","98.61923058095557","98.61923058095557","0","0","5"
"62212","1091602","4026","85.13135731500005","85.13135731500005","0","0","5"
"62196","398097259","5246297","81.41434527483894","95.78158267628116","14.367237401442225","0","23759716"
"62158","20673263","715203","72.28137450768442","72.28137450768442","0","0","26230"
"62153","21765452","25760","36.793507472999984","43.28647937999997","6.492971906999983","0","1627272"
"62237","140552661","7764124","30.359434447635387","30.359434447635387","0","0","868"
"62151","83732662","378266","28.985652683645192","28.985652683645192","0","0","0"
"62198","15868804","19398","24.884250218018195","29.27558849178614","4.391338273767946","0","75651"
"62156","97752889","317193","22.616238479610928","26.60733938777751","3.991100908166583","0","2736"
"62168","62240015","1353550","7.557895647983793","9.447369559979737","1.8894739119959443","0","70"
"62172","1483640","3134","3.692353922979929","3.692353922979929","0","0","0"
"62171","727078","3278","3.345900818171613","3.345900818171613","0","0","5"
"57205","14653630","2592","0.5351575938368504","0.5351575938368504","0","0","0"
"62143","266628","1054","0.4574858302387302","0.5382186238102712","0.080732793571541","0","45100"
"62193","512362","6","0.014880648078806874","0.014880648078806874","0","0","1520"
"62236","64","32","0.0006000000000000001","0.0006000000000000001","0","0","36"
"62206","10","5","0.0005","0.0005","0","0","0"
"62232","24","4","0.0002","0.0002","0","0","12"
"62177","52727","1455","0.000071893","0.000071893","0","0","0"
"62160","0","0","0","0","0","0","1"
"62162","11","0","0","0","0","0","0"
"62175","3","3","0","0","0","0","0"
"62231","0","0","0","0","0","0","38791"
"8","4","4","0","0","0","0","0"
